"x"	"family"	"x.1"	"TRY30_Family.y"	"TRY30_PhylogeneticGroup.y"	"PlantGrowth.y"	"LeafCompoundness.y"	"Woody"	"LeafType.new.y"	"leafPT.new.y"	"group"	"ID"	"P50"	"slope"	"TLP"	"Ks"	"Ks_area"	"Kl_xy"	"Kl_area"	"LS"	"HSM50"	"P50_l"	"slope_O"	"WD"	"leafN"	"leafNa"	"GR"	"Hmax"	"LMA"	"AI"	"MAT"	"MaxTm"	"VariableT"	"TdriestQ"	"TwarmestQ"	"MAP"	"PwetestM"	"PdriestM"	"PwetestQ"	"PdriestQ"	"PwarmestQ"	"Ks_Hmax"	"LS_Hmax"
"1"	"Abarema adenophora"	"Leguminosae"	"Abarema adenophora"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.665	3.200508168	0.802001585	NA	NA	4.544039186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Abarema barbouriana"	"Leguminosae"	"Abarema barbouriana"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA	20356.89881	24.70300098	30.11369039	10.83571413	24.84801585	25.31785709	2940.029762	408.7261905	95.17261905	1098.458333	353.547619	581.1666667	NA	NA
"3"	"Abarema brachystachya"	"Leguminosae"	"Abarema brachystachya"	"Fabaceae"	"Angiosperm"	"shrub/tree"	"compound"	"woody"	"broadleaf"	"drought"	"BD"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54	3.414442608	NA	NA	10	NA	14641.34118	22.03073529	30.23764714	16.15411772	19.4898039	24.77156863	1896.917647	276.0117647	64.65882353	785.9529412	217.4588235	661.6235294	NA	NA
"4"	"Abarema jupunba"	"Leguminosae"	"Abarema jupunba"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	0.470003629245736	NA	NA	NA	NA	NA	NA	NA	NA	0.55	3.231594597	0.539413081	NA	45	NA	17170.22308	25.03006944	30.8	11.70141028	24.97147436	25.78465811	2469.334615	348.925641	80.49230769	952.2025641	292.2038462	476.8794872	NA	NA
"5"	"Abarema laeta"	"Leguminosae"	"Abarema laeta"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"drought"	"BD"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88547367	0.845868268	NA	NA	NA	22555.54762	25.0855357	30.57999989	11.33666655	25.19277777	25.63833332	2830.661905	340.5095238	132.1333333	951.5238095	440.9761905	576.7238095	NA	NA
"6"	"Abarema macradenia"	"Leguminosae"	"Abarema macradenia"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	3.152308581	1.043804052	0.636576829	32.15	4.934833581	18966.41176	25.31464459	30.63382354	10.37205884	25.36691171	26.22230392	2967.705882	474.7794118	54.51470588	1205.970588	220.8235294	631.1323529	NA	NA
"7"	"Abarema mataybifolia"	"Leguminosae"	"Abarema mataybifolia"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	3.549617387	0.887891257	NA	28	NA	15727.74545	25.8380303	31.57636344	11.18909069	26.27545452	26.50424238	2335.527273	363.9818182	65.10909091	982.6363636	236.1636364	285.4363636	NA	NA
"8"	"Abarema piresii"	"Leguminosae"	"Abarema piresii"	"Fabaceae"	"Angiosperm"	"tree"	"compound"	"woody"	"broadleaf"	"evergreen"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.146305132	NA	NA	NA	NA	16863.09677	26.34825263	32.13548371	11.71935469	26.51720429	26.99193538	2277.741935	330.8064516	58	938.7096774	210.8387097	360.7741935	NA	NA
"9"	"Abatia parviflora"	"Salicaceae"	"Abatia parviflora"	"Flacourtiaceae"	"Angiosperm"	"shrub/tree"	"simple"	"woody"	"broadleaf"	"drought"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.194583132	NA	NA	NA	NA	12824.92797	13.61115819	18.82372879	10.66059321	13.52655366	13.99745762	1564.855932	228.6864407	47.69491525	582.7245763	188.309322	445.029661	NA	NA
"10"	"Abelia biflora"	"Caprifoliaceae"	"Abelia biflora"	"Caprifoliaceae"	"Angiosperm"	"shrub"	"simple"	"woody"	"broadleaf"	"temperature"	"BT"	1	NA	NA	0.667829372575655	NA	NA	NA	NA	-1.714798428	NA	NA	NA	NA	2.898670561	-0.040821995	NA	3	4.531954124	4844.569231	10.51019233	28.41384621	37.95846154	-1.911794852	21.86282054	619.4	152.3846154	5.030769231	368.0769231	20.69230769	361.2	NA	-0.61618613933189
"11"	"Abelia dielsii"	"Caprifoliaceae"	"Abelia dielsii"	"Caprifoliaceae"	"Angiosperm"	"shrub"	"simple"	"woody"	"broadleaf"	"drought"	"BE"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	8277.712766	11.3798759	26.84042561	32.07659581	1.620212772	20.6994681	923.4787234	177.8723404	14.37234043	461	53.75531915	436.3191489	NA	NA
"12"	"Abies alba"	"Pinaceae"	"Abies alba"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	1.30562645805244	3.925334019	0.470003629245736	0.086177696	NA	NA	NA	0.530819409	-0.35	NA	50.67	0.505	2.553343811	0.763139552	NA	68	5.043618647	10889.328	7.840483437	19.90846135	25.24260123	4.370915337	15.92795746	901.6706258	104.6364663	50.90066258	293.3258405	168.5209816	257.3042454	-4.133330009	4.75032711417611
"13"	"Abies amabilis"	"Pinaceae"	"Abies amabilis"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	NA	NA	NA	NA	NA	NA	NA	-0.45413028	NA	NA	NA	0.41	2.282382386	0.39877612	NA	75	NA	19527.20354	6.101548672	17.85398231	24.0300885	10.78561947	13.60943953	1668.477876	255.0575221	46.10619469	717.2787611	172.6017699	196.5132743	NA	3.86335783353631
"14"	"Abies balsamea"	"Pinaceae"	"Abies balsamea"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	1.00246842811521	4.083957469	0.494696241836107	-1.007857925	NA	0.978326123	NA	-1.54327571	NA	NA	59.38	0.45	2.708050201	0.69064405	NA	30	4.774448718	12113.17369	4.725159844	22.37055776	38.59373972	-3.522354287	17.03031302	1031.543893	113.9399859	57.85855495	320.1739233	192.6173217	292.8168981	-4.409055307	1.85792167166216
"15"	"Abies bracteata"	"Pinaceae"	"Abies bracteata"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	6590.695652	11.44583336	22.67101468	21.93188424	15.42801936	16.90869573	931.6231884	172.9855072	7.898550725	473.5797101	28.72463768	40.85507246	NA	NA
"16"	"Abies cephalonica"	"Pinaceae"	"Abies cephalonica"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.533696814	0.665261977	NA	40	NA	8099.316964	10.44306175	22.85312499	25.80133929	13.74040178	18.5124256	880.28125	114.5982143	36.70089286	312.5	128.7946429	153.0491071	NA	NA
"17"	"Abies chensiensis"	"Pinaceae"	"Abies chensiensis"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	7857.017857	11.22403275	24.58571448	27.60892877	4.104166668	18.74732148	883.2321429	157.5535714	14.21428571	420.75	53.375	407.1964286	NA	NA
"18"	"Abies cilicica"	"Pinaceae"	"Abies cilicica"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	6435.807018	11.42580411	25.46491231	29.6403509	16.19269009	20.01695912	835.6140351	134.5087719	21.28070175	364.5789474	73.42105263	93.80701754	NA	NA
"19"	"Abies concolor"	"Pinaceae"	"Abies concolor"	"Pinaceae"	"Gymnosperm"	"tree"	"simple"	"woody"	"conifer"	"conifer"	"CC"	1	1.50629715351459	3.452840615	0.835080676448612	-0.127833372	NA	NA	NA	NA	NA	NA	40	0.38	2.570319528	1.335001067	NA	60	4.949185332	5976.860173	8.153596683	22.88151514	29.67428571	8.304725823	16.92324676	682.6861472	101.8623377	20.01385281	280.2839827	76.60562771	142.7441558	-4.222177934	NA
